index,kernelsize_fl,stride_fl,filters_fl,filters_sl,kernelsize_sl,filters_restl,kernelsize_restl,val_acc,test_acc,params
1485,16,8,16,128,3,16,3,0.958974359,0.968922946,27310
1486,16,8,16,128,3,8,6,0.784615385,0.776074926,19222
1487,16,8,16,128,3,8,3,0.841025641,0.823329076,17366
1488,16,8,16,64,6,256,6,0.682051282,0.638143891,1024446
1489,16,8,16,64,6,256,3,0.671794872,0.644529587,633278
1490,16,8,16,64,6,128,6,0.846153846,0.828863346,319550
1491,16,8,16,64,6,128,3,0.717948718,0.705406556,222270
1492,16,8,16,64,6,64,6,0.851282051,0.831417625,114558
1493,16,8,16,64,6,64,3,0.969230769,0.947637292,90494
1494,16,8,16,64,6,32,6,0.98974359,0.985100043,48926
1495,16,8,16,64,6,32,3,0.958974359,0.927628778,43038
1496,16,8,16,64,6,16,6,0.917948718,0.89314602,25326
1497,16,8,16,64,6,16,3,0.948717949,0.920391656,23918
1498,16,8,16,64,6,8,6,0.820512821,0.778203491,15830
1499,16,8,16,64,6,8,3,0.943589744,0.920391656,15510
1500,16,8,16,64,3,256,6,0.825641026,0.792252022,1021374
1501,16,8,16,64,3,256,3,0.753846154,0.745849298,630206
1502,16,8,16,64,3,128,6,0.835897436,0.818220519,316478
1503,16,8,16,64,3,128,3,0.846153846,0.826734781,219198
1504,16,8,16,64,3,64,6,0.841025641,0.806726266,111486
1505,16,8,16,64,3,64,3,0.943589744,0.911451682,87422
1506,16,8,16,64,3,32,6,1,0.987654321,45854
1507,16,8,16,64,3,32,3,0.969230769,0.932737335,39966
1508,16,8,16,64,3,16,6,0.917948718,0.904640272,22254
1509,16,8,16,64,3,16,3,0.964102564,0.950191571,20846
1510,16,8,16,64,3,8,6,0.866666667,0.829714772,12758
1511,16,8,16,64,3,8,3,0.943589744,0.941251596,12438
1512,16,8,16,32,6,256,6,0.682051282,0.654320988,972062
1513,16,8,16,32,6,256,3,0.666666667,0.636015326,605470
1514,16,8,16,32,6,128,6,0.687179487,0.655598127,291742
1515,16,8,16,32,6,128,3,0.697435897,0.676458067,206750
1516,16,8,16,32,6,64,6,0.733333333,0.71562367,99038
1517,16,8,16,32,6,64,3,0.846153846,0.80587484,81118
1518,16,8,16,32,6,32,6,0.974358974,0.936568753,39550
1519,16,8,16,32,6,32,3,0.974358974,0.942528736,36734
1520,16,8,16,32,6,16,6,0.974358974,0.931885909,19022
1521,16,8,16,32,6,16,3,0.928205128,0.933588761,19150
1522,16,8,16,32,6,8,6,0.866666667,0.849297573,11062
1523,16,8,16,32,6,8,3,0.871794872,0.813537676,11510
1524,16,8,16,32,3,256,6,0.528205128,0.489144317,970526
1525,16,8,16,32,3,256,3,0.528205128,0.489144317,603934
1526,16,8,16,32,3,128,6,0.907692308,0.888463176,290206
1527,16,8,16,32,3,128,3,0.984615385,0.970625798,205214
1528,16,8,16,32,3,64,6,0.866666667,0.827586207,97502
1529,16,8,16,32,3,64,3,0.958974359,0.912728821,79582
1530,16,8,16,32,3,32,6,0.964102564,0.934014474,38014
1531,16,8,16,32,3,32,3,0.979487179,0.950191571,35198
1532,16,8,16,32,3,16,6,0.969230769,0.92933163,17486
1533,16,8,16,32,3,16,3,0.958974359,0.932737335,17614
1534,16,8,16,32,3,8,6,0.876923077,0.846743295,9526
1535,16,8,16,32,3,8,3,0.825641026,0.773520647,9974
1536,16,8,16,16,6,256,6,0.533333333,0.48957003,945870
1537,16,8,16,16,6,256,3,0.528205128,0.489144317,591566
1538,16,8,16,16,6,128,6,0.846153846,0.828863346,277838
1539,16,8,16,16,6,128,3,0.687179487,0.658578118,198990
1540,16,8,16,16,6,64,6,0.769230769,0.754789272,91278
1541,16,8,16,16,6,64,3,0.969230769,0.931034483,76430
1542,16,8,16,16,6,32,6,0.917948718,0.902511707,34862
1543,16,8,16,16,6,32,3,0.979487179,0.94040017,33582
1544,16,8,16,16,6,16,6,0.979487179,0.939974457,15870
1545,16,8,16,16,6,16,3,0.917948718,0.934440187,16766
1546,16,8,16,16,6,8,6,0.825641026,0.815666241,8678
1547,16,8,16,16,6,8,3,0.738461538,0.673052363,9510
1548,16,8,16,16,3,256,6,0.748717949,0.729672201,945102
1549,16,8,16,16,3,256,3,0.846153846,0.825883355,590798
1550,16,8,16,16,3,128,6,1,0.993188591,277070
1551,16,8,16,16,3,128,3,0.98974359,0.962962963,198222
1552,16,8,16,16,3,64,6,0.984615385,0.93614304,90510
1553,16,8,16,16,3,64,3,0.984615385,0.949340145,75662
1554,16,8,16,16,3,32,6,0.984615385,0.954874415,34094
1555,16,8,16,16,3,32,3,0.984615385,0.964665815,32814
1556,16,8,16,16,3,16,6,0.984615385,0.942103023,15102
1557,16,8,16,16,3,16,3,0.846153846,0.839931886,15998
1558,16,8,16,16,3,8,6,0.892307692,0.873988931,7910
1559,16,8,16,16,3,8,3,0.764102564,0.724137931,8742
1560,16,8,16,8,6,256,6,0.846153846,0.828863346,932774
1561,16,8,16,8,6,256,3,0.846153846,0.828863346,584614
1562,16,8,16,8,6,128,6,0.846153846,0.822051937,270886
1563,16,8,16,8,6,128,3,0.846153846,0.819923372,195110
1564,16,8,16,8,6,64,6,0.892307692,0.873988931,87398
1565,16,8,16,8,6,64,3,0.912820513,0.891443167,74086
1566,16,8,16,8,6,32,6,0.964102564,0.939548744,32518
1567,16,8,16,8,6,32,3,0.964102564,0.937420179,32006
1568,16,8,16,8,6,16,6,0.938461538,0.89740315,14294
1569,16,8,16,8,6,16,3,0.897435897,0.864623244,15574
1570,16,8,16,8,6,8,6,0.902564103,0.850574713,7486
1571,16,8,16,8,6,8,3,0.738461538,0.723712218,8510
1572,16,8,16,8,3,256,6,0.687179487,0.657300979,932390
1573,16,8,16,8,3,256,3,0.846153846,0.818646232,584230
1574,16,8,16,8,3,128,6,0.846153846,0.823329076,270502
1575,16,8,16,8,3,128,3,0.846153846,0.820349085,194726
1576,16,8,16,8,3,64,6,0.917948718,0.890591741,87014
1577,16,8,16,8,3,64,3,0.948717949,0.91954023,73702
1578,16,8,16,8,3,32,6,0.958974359,0.942103023,32134
1579,16,8,16,8,3,32,3,0.969230769,0.943380162,31622
1580,16,8,16,8,3,16,6,0.907692308,0.892294593,13910
1581,16,8,16,8,3,16,3,0.861538462,0.833120477,15190
1582,16,8,16,8,3,8,6,0.876923077,0.84887186,7102
1583,16,8,16,8,3,8,3,0.758974359,0.691358025,8126
1584,16,8,8,256,6,256,6,0.528205128,0.489144317,1325910
1585,16,8,8,256,6,256,3,0.671794872,0.650063857,787286
1586,16,8,8,256,6,128,6,0.676923077,0.650915283,473558
1587,16,8,8,256,6,128,3,0.528205128,0.489144317,302550
1588,16,8,8,256,6,64,6,0.605128205,0.560238399,194838
1589,16,8,8,256,6,64,3,0.697435897,0.671775223,133910
1590,16,8,8,256,6,32,6,0.841025641,0.82247765,92342
1591,16,8,8,256,6,32,3,0.687179487,0.659429544,68022
1592,16,8,8,256,6,16,6,0.846153846,0.828437633,50310
1593,16,8,8,256,6,16,3,0.841025641,0.834823329,39686
1594,16,8,8,256,6,8,6,0.805128205,0.783737761,31598
1595,16,8,8,256,6,8,3,0.841025641,0.826309068,26670
1596,16,8,8,256,3,256,6,0.671794872,0.638569604,1319766
1597,16,8,8,256,3,256,3,0.666666667,0.637718178,781142
1598,16,8,8,256,3,128,6,0.676923077,0.652192422,467414
1599,16,8,8,256,3,128,3,0.682051282,0.659429544,296406
1600,16,8,8,256,3,64,6,0.682051282,0.659855258,188694
1601,16,8,8,256,3,64,3,0.841025641,0.828437633,127766
1602,16,8,8,256,3,32,6,0.682051282,0.659003831,86198
1603,16,8,8,256,3,32,3,0.835897436,0.815666241,61878
1604,16,8,8,256,3,16,6,0.841025641,0.820349085,44166
1605,16,8,8,256,3,16,3,0.866666667,0.870157514,33542
1606,16,8,8,256,3,8,6,0.794871795,0.792252022,25454
1607,16,8,8,256,3,8,3,0.841025641,0.825031928,20526
1608,16,8,8,128,6,256,6,0.528205128,0.489144317,1122518
1609,16,8,8,128,6,256,3,0.528205128,0.489144317,682198
1610,16,8,8,128,6,128,6,0.682051282,0.659855258,368470
1611,16,8,8,128,6,128,3,0.682051282,0.658152405,246614
1612,16,8,8,128,6,64,6,0.697435897,0.652618135,138902
1613,16,8,8,128,6,64,3,0.841025641,0.827160494,102550
1614,16,8,8,128,6,32,6,0.830769231,0.818220519,60982
1615,16,8,8,128,6,32,3,0.841025641,0.833120477,48950
1616,16,8,8,128,6,16,6,0.851282051,0.868880375,31238
1617,16,8,8,128,6,16,3,0.912820513,0.891443167,26758
1618,16,8,8,128,6,8,6,0.779487179,0.75734355,18670
1619,16,8,8,128,6,8,3,0.646153846,0.602809706,16814
1620,16,8,8,128,3,256,6,0.528205128,0.490421456,1119446
1621,16,8,8,128,3,256,3,0.646153846,0.622818221,679126
1622,16,8,8,128,3,128,6,0.682051282,0.659855258,365398
